,name,discountedPrice,imgUrl,actualPrice,rating
0,,,https://images-na.ssl-images-amazon.com/images/G/31/img20/Wireless/MobileInsider/June/10th/420x420_5._CB429051440_QL95_SY80_.jpg,,
1,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)","8,799",https://m.media-amazon.com/images/I/71A9Vo1BatL._AC_UY218_.jpg,"₹8,799",4.1 out of 5 stars
2,"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","6,799",https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg,"₹6,799",4.2 out of 5 stars
3,,,https://images-na.ssl-images-amazon.com/images/G/31/img20/Wireless/MobileInsider/June/10th/420x420_5._CB429051440_QL95_SY80_.jpg,,
4,"(Renewed) Samsung Galaxy F41 (Fusion Black, 6GB RAM, 64GB Storage)","15,499",https://m.media-amazon.com/images/I/51IwsJ2F+qL._AC_UY218_.jpg,"₹15,499",
5,"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","11,990",https://m.media-amazon.com/images/I/71KCwNV6MuL._AC_UY218_.jpg,"₹11,990",4.2 out of 5 stars
6,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)","8,799",https://m.media-amazon.com/images/I/71A9Vo1BatL._AC_UY218_.jpg,"₹8,799",4.1 out of 5 stars
7,"Vivo Y31 (Ocean Blue, 6GB, 128GB Storage) with No Cost EMI/Additional Exchange Offers","16,490",https://m.media-amazon.com/images/I/71YW54xTE1L._AC_UY218_.jpg,"₹16,490",4.3 out of 5 stars
8,,,,,
9,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","10,999",https://m.media-amazon.com/images/I/71X5I1cVfbL._AC_UY218_.jpg,"₹10,999",4.2 out of 5 stars
10,"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","6,799",https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg,"₹6,799",4.2 out of 5 stars
11,"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","11,990",https://m.media-amazon.com/images/I/71KCwNV6MuL._AC_UY218_.jpg,"₹11,990",4.2 out of 5 stars
12,"Tecno Spark 5 Pro (Seabed Blue, 4GB RAM, 64GB Storage)","9,399",https://m.media-amazon.com/images/I/81sXQ5gXL3L._AC_UY218_.jpg,"₹9,399",3.9 out of 5 stars
13,"Vivo V20 2021 Sunset Melody, 8GB RAM, 128GB Storage","22,990",https://m.media-amazon.com/images/I/610d0YkZOtL._AC_UY218_.jpg,"₹22,990",4.4 out of 5 stars
14,"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","16,499",https://m.media-amazon.com/images/I/71-Su4Wr0HL._AC_UY218_.jpg,"₹16,499",4.3 out of 5 stars
15,"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","11,990",https://m.media-amazon.com/images/I/61IhTtJUXJL._AC_UY218_.jpg,"₹11,990",4.2 out of 5 stars
16,,,,,
17,,,"https://m.media-amazon.com/images/S/onsitepublishing-media-prod/65ef407d-dcb4-43cc-9e27-d811b1526d73/images/47f34610-b0b9-4a1f-a570-60d4082c2fb0._CR0,227,3022,1813_SY200_TTD_.jpg",,
18,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","10,999",https://m.media-amazon.com/images/I/71X5I1cVfbL._AC_UY218_.jpg,"₹10,999",4.2 out of 5 stars
19,Research in motion-BB BlackBerry Curve 9220 with 2MP Primary Camera -Black,"4,799",https://m.media-amazon.com/images/I/41N6BIGpO1L._AC_UY218_.jpg,"₹4,799",
20,"Gionee A1 Lite (Black, 3GB RAM, 32GB Storage)","6,290",https://m.media-amazon.com/images/I/71FECXAzWZL._AC_UY218_.jpg,"₹6,290",3.4 out of 5 stars
21,"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","6,199",https://m.media-amazon.com/images/I/71AYb2AGHXL._AC_UY218_.jpg,"₹6,199",3.6 out of 5 stars
22,"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","9,999",https://m.media-amazon.com/images/I/71U2SiHgbiL._AC_UY218_.jpg,"₹9,999",4.3 out of 5 stars
23,"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","16,499",https://m.media-amazon.com/images/I/71-Su4Wr0HL._AC_UY218_.jpg,"₹16,499",4.3 out of 5 stars
24,"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","11,990",https://m.media-amazon.com/images/I/61IhTtJUXJL._AC_UY218_.jpg,"₹11,990",4.2 out of 5 stars
25,"LG W41 (Magic Blue, 48 MP Quad Camera, 4GB RAM, 64GB Storage)","12,989",https://m.media-amazon.com/images/I/614+W18ms+L._AC_UY218_.jpg,"₹12,989",3.3 out of 5 stars
26,"Vivo Y91i (Ocean Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","8,490",https://m.media-amazon.com/images/I/51-T19jXchL._AC_UY218_.jpg,"₹8,490",4.2 out of 5 stars
27,"Vivo Y20i (Nebula Blue, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","11,490",https://m.media-amazon.com/images/I/71INGYhIf0L._AC_UY218_.jpg,"₹11,490",4.2 out of 5 stars
28,"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","5,004",https://m.media-amazon.com/images/I/41QsvcpKaZL._AC_UY218_.jpg,"₹5,004",3.0 out of 5 stars
29,"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","13,999",https://m.media-amazon.com/images/I/71dujTTJDZL._AC_UY218_.jpg,"₹13,999",4.2 out of 5 stars
30,"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","6,199",https://m.media-amazon.com/images/I/71AYb2AGHXL._AC_UY218_.jpg,"₹6,199",3.6 out of 5 stars
31,"(Renewed) Samsung Galaxy F41 (Fusion Blue, 6GB RAM, 64GB Storage)","15,499",https://m.media-amazon.com/images/I/51hrxoJdNBL._AC_UY218_.jpg,"₹15,499",
32,"YU YU5040 (Chrome Black, 4GB RAM, 32GB Storage)","6,999",https://m.media-amazon.com/images/I/51bk6IuaGzL._AC_UY218_.jpg,"₹6,999",3.6 out of 5 stars
33,Research in motion-BB BlackBerry 9900 with 5MP Camera-Black,"9,200",https://m.media-amazon.com/images/I/61xruntCq2L._AC_UY218_.jpg,"₹9,200",1.0 out of 5 stars
34,"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free","12,999",https://m.media-amazon.com/images/I/81fwKtv0VHL._AC_UY218_.jpg,"₹12,999",4.2 out of 5 stars
35,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)","24,999",https://m.media-amazon.com/images/I/710weRkP-nL._AC_UY218_.jpg,"₹24,999",4.4 out of 5 stars
36,"OPPO A31 (Fantasy White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990",https://m.media-amazon.com/images/I/61IhTtJUXJL._AC_UY218_.jpg,"₹10,990",4.2 out of 5 stars
37,"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","9,999",https://m.media-amazon.com/images/I/71U2SiHgbiL._AC_UY218_.jpg,"₹9,999",4.3 out of 5 stars
38,"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","5,004",https://m.media-amazon.com/images/I/41QsvcpKaZL._AC_UY218_.jpg,"₹5,004",3.0 out of 5 stars
39,"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","13,999",https://m.media-amazon.com/images/I/71dujTTJDZL._AC_UY218_.jpg,"₹13,999",4.2 out of 5 stars
40,"OPPO A15s (Fancy White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","11,490",https://m.media-amazon.com/images/I/71UnRvRqfxL._AC_UY218_.jpg,"₹11,490",4.1 out of 5 stars
41,"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","16,499",https://m.media-amazon.com/images/I/71OxJeyywSL._AC_UY218_.jpg,"₹16,499",4.3 out of 5 stars
42,"Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","7,990",https://m.media-amazon.com/images/I/51FnmxwFHDL._AC_UY218_.jpg,"₹7,990",4.1 out of 5 stars
43,"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free","12,999",https://m.media-amazon.com/images/I/81fwKtv0VHL._AC_UY218_.jpg,"₹12,999",4.2 out of 5 stars
44,"Redmi 9 Power (Electric Green, 4GB RAM, 64GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera","10,499",https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UY218_.jpg,"₹10,499",4.1 out of 5 stars
45,"I KALL K325 Smartphone (2GB, 16GB) (Green)","4,799",https://m.media-amazon.com/images/I/41SwAoHxdEL._AC_UY218_.jpg,"₹4,799",5.0 out of 5 stars
46,"OPPO A31 (Mystery Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990",https://m.media-amazon.com/images/I/71KCwNV6MuL._AC_UY218_.jpg,"₹10,990",4.2 out of 5 stars
47,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)","24,999",https://m.media-amazon.com/images/I/710weRkP-nL._AC_UY218_.jpg,"₹24,999",4.4 out of 5 stars
48,"OPPO A31 (Fantasy White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990",https://m.media-amazon.com/images/I/61IhTtJUXJL._AC_UY218_.jpg,"₹10,990",4.2 out of 5 stars
49,"(Renewed) Samsung Galaxy F41 (Fusion Black, 6GB RAM, 64GB Storage)","15,499",https://m.media-amazon.com/images/I/51IwsJ2F+qL._AC_UY218_.jpg,"₹15,499",
50,"Redmi 9 Prime (Matte Black, 4GB RAM, 128GB Storage) - Full HD+ Display & AI Quad Camera","10,999",https://m.media-amazon.com/images/I/71U2SiHgbiL._AC_UY218_.jpg,"₹10,999",4.3 out of 5 stars
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","16,499",https://m.media-amazon.com/images/I/71OxJeyywSL._AC_UY218_.jpg,"₹16,499",4.3 out of 5 stars
56,"Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","7,990",https://m.media-amazon.com/images/I/51FnmxwFHDL._AC_UY218_.jpg,"₹7,990",4.1 out of 5 stars
57,"Vivo Y31 (Ocean Blue, 6GB, 128GB Storage) with No Cost EMI/Additional Exchange Offers","16,490",https://m.media-amazon.com/images/I/71YW54xTE1L._AC_UY218_.jpg,"₹16,490",4.3 out of 5 stars
58,"Tecno Spark 5 Pro (Seabed Blue, 4GB RAM, 64GB Storage)","9,399",https://m.media-amazon.com/images/I/81sXQ5gXL3L._AC_UY218_.jpg,"₹9,399",3.9 out of 5 stars
59,,,,,
60,,,,,
61,"OPPO A31 (Mystery Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990",https://m.media-amazon.com/images/I/71KCwNV6MuL._AC_UY218_.jpg,"₹10,990",4.2 out of 5 stars
62,,,,,
63,,,,,
64,,,,,
65,"Vivo V20 2021 Sunset Melody, 8GB RAM, 128GB Storage","22,990",https://m.media-amazon.com/images/I/610d0YkZOtL._AC_UY218_.jpg,"₹22,990",4.4 out of 5 stars
66,Research in motion-BB BlackBerry Curve 9220 with 2MP Primary Camera -Black,"4,799",https://m.media-amazon.com/images/I/41N6BIGpO1L._AC_UY218_.jpg,"₹4,799",
67,"Gionee A1 Lite (Black, 3GB RAM, 32GB Storage)","6,290",https://m.media-amazon.com/images/I/71FECXAzWZL._AC_UY218_.jpg,"₹6,290",3.4 out of 5 stars
68,"LG W41 (Magic Blue, 48 MP Quad Camera, 4GB RAM, 64GB Storage)","12,989",https://m.media-amazon.com/images/I/614+W18ms+L._AC_UY218_.jpg,"₹12,989",3.3 out of 5 stars
69,"Vivo Y91i (Ocean Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","8,490",https://m.media-amazon.com/images/I/51-T19jXchL._AC_UY218_.jpg,"₹8,490",4.2 out of 5 stars
70,"Vivo Y20i (Nebula Blue, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","11,490",https://m.media-amazon.com/images/I/71INGYhIf0L._AC_UY218_.jpg,"₹11,490",4.2 out of 5 stars
71,"(Renewed) Samsung Galaxy F41 (Fusion Blue, 6GB RAM, 64GB Storage)","15,499",https://m.media-amazon.com/images/I/51hrxoJdNBL._AC_UY218_.jpg,"₹15,499",
72,"YU YU5040 (Chrome Black, 4GB RAM, 32GB Storage)","6,999",https://m.media-amazon.com/images/I/51bk6IuaGzL._AC_UY218_.jpg,"₹6,999",3.6 out of 5 stars
73,Research in motion-BB BlackBerry 9900 with 5MP Camera-Black,"9,200",https://m.media-amazon.com/images/I/61xruntCq2L._AC_UY218_.jpg,"₹9,200",1.0 out of 5 stars
74,"OPPO A15s (Fancy White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","11,490",https://m.media-amazon.com/images/I/71UnRvRqfxL._AC_UY218_.jpg,"₹11,490",4.1 out of 5 stars
75,"Redmi 9 Power (Electric Green, 4GB RAM, 64GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera","10,499",https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UY218_.jpg,"₹10,499",4.1 out of 5 stars
76,"I KALL K325 Smartphone (2GB, 16GB) (Green)","4,799",https://m.media-amazon.com/images/I/41SwAoHxdEL._AC_UY218_.jpg,"₹4,799",5.0 out of 5 stars
77,"Redmi 9 Prime (Matte Black, 4GB RAM, 128GB Storage) - Full HD+ Display & AI Quad Camera","10,999",https://m.media-amazon.com/images/I/71U2SiHgbiL._AC_UY218_.jpg,"₹10,999",4.3 out of 5 stars
78,,,,,
79,,,,,
80,,,,,
81,"Samsung Galaxy M02s (Black,4GB RAM, 64GB Storage) | 5000 mAh | Triple Camera","9,999",https://m.media-amazon.com/images/I/71IkA3T7hIL._AC_UY218_.jpg,"₹9,999",4.1 out of 5 stars
82,"Samsung Galaxy M02s (Blue,4GB RAM, 64GB Storage) | 5000 mAh | Triple Camera","9,999",https://m.media-amazon.com/images/I/71wkpcIfqdL._AC_UY218_.jpg,"₹9,999",4.1 out of 5 stars
83,"Vivo Y91i (Fusion Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","7,990",https://m.media-amazon.com/images/I/51ZoulFBPGL._AC_UY218_.jpg,"₹7,990",4.2 out of 5 stars
84,"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Alexa Hands-Free","14,999",https://m.media-amazon.com/images/I/71usqWEJleL._AC_UY218_.jpg,"₹14,999",4.2 out of 5 stars
85,"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","10,999",https://m.media-amazon.com/images/I/71yYaNztZ0L._AC_UY218_.jpg,"₹10,999",3.9 out of 5 stars
86,"realme 8 Pro (Infinite Black, 128 GB) (6 GB RAM)","19,490",https://m.media-amazon.com/images/I/419gmiIp7cL._AC_UY218_.jpg,"₹19,490",2.0 out of 5 stars
87,"Samsung Galaxy M01 Core (Black, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers","5,199",https://m.media-amazon.com/images/I/71AYb2AGHXL._AC_UY218_.jpg,"₹5,199",3.6 out of 5 stars
88,"Redmi 9A (Nature Green, 3GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","7,499",https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg,"₹7,499",4.2 out of 5 stars
89,"Redmi Note 9 Shadow Black, 4GB RAM, 64GB Storage","10,999",https://m.media-amazon.com/images/I/71X5I1cVfbL._AC_UY218_.jpg,"₹10,999",4.2 out of 5 stars
90,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","13,499",https://m.media-amazon.com/images/I/71yYaNztZ0L._AC_UY218_.jpg,"₹13,499",3.9 out of 5 stars
91,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","6,799",https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg,"₹6,799",4.2 out of 5 stars
92,Lava Pulse Mobile Phone - with BP & Heart Rate Monitor (Gold),"1,449",https://m.media-amazon.com/images/I/613KWXMGG4L._AC_UY218_.jpg,"₹1,449",3.6 out of 5 stars
93,"OPPO A52 (Stream White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","14,990",https://m.media-amazon.com/images/I/71RadpHBLhL._AC_UY218_.jpg,"₹14,990",4.2 out of 5 stars
94,"Redmi 9A (Sea Blue, 2GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","6,799",https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg,"₹6,799",4.2 out of 5 stars
95,"(Renewed) Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Long Battery, Camera LED Flash) (Black)","4,599",https://m.media-amazon.com/images/I/419tymRBxOL._AC_UY218_.jpg,"₹4,599",3.0 out of 5 stars
96,"I KALL K2 Plus (4GB, 64GB) (Sky Blue)","5,699",https://m.media-amazon.com/images/I/51tHQqhA5xL._AC_UY218_.jpg,"₹5,699",5.0 out of 5 stars
97,"Gionee F11 Black (3GB Ram 32GB ROM) 5000mAh Battery, Dual Camera","6,999",https://m.media-amazon.com/images/I/81EhipZy25L._AC_UY218_.jpg,"₹6,999",5.0 out of 5 stars
98,"Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","10,999",https://m.media-amazon.com/images/I/714QWDxXgNL._AC_UY218_.jpg,"₹10,999",3.9 out of 5 stars
99,"Mi 10i 5G (Atlantic Blue, 8GB RAM, 128GB Storage) - 108MP Quad Camera | Snapdragon 750G Processor | Upto 6 Months No Cost EMI","23,999",https://m.media-amazon.com/images/I/71w4n2itCNL._AC_UY218_.jpg,"₹23,999",4.1 out of 5 stars
100,"OPPO A15s (Dynamic Black, 4GB RAM, 64GB Storage) With No Cost EMI/Additional Exchange Offers","11,490",https://m.media-amazon.com/images/I/7136zgtNmJL._AC_UY218_.jpg,"₹11,490",4.1 out of 5 stars
101,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage)","8,799",https://m.media-amazon.com/images/I/716nHhG9SWL._AC_UY218_.jpg,"₹8,799",4.1 out of 5 stars
102,"Redmi Note 9 (Aqua Green, 4GB RAM, 64GB Storage) - 48MP Quad Camera & Full HD+ Display","10,999",https://m.media-amazon.com/images/I/71X5I1cVfbL._AC_UY218_.jpg,"₹10,999",4.2 out of 5 stars
103,"ZIOX Z520 2.4"" Display, Digital Camera with Flash,Mobile Tracker, 1800 mAh Battery (Dark Blue,Black)","1,199",https://m.media-amazon.com/images/I/718WblLLnCL._AC_UY218_.jpg,"₹1,199",
104,"Realme 7 (Mist Blue, 64 GB) (6 GB RAM)",,https://m.media-amazon.com/images/I/31El3mZBGQL._AC_UY218_.jpg,,4.1 out of 5 stars
105,"Vivo Y11 (Agate Red, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","9,490",https://m.media-amazon.com/images/I/81WVehzY2+L._AC_UY218_.jpg,"₹9,490",4.2 out of 5 stars
106,"Redmi 9 Prime (Matte Black, 4GB RAM, 64GB Storage) - Full HD+ Display & AI Quad Camera","9,999",https://m.media-amazon.com/images/I/71U2SiHgbiL._AC_UY218_.jpg,"₹9,999",4.3 out of 5 stars
107,"OPPO A31 (Lake Green, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990",https://m.media-amazon.com/images/I/71AHtKejSlL._AC_UY218_.jpg,"₹10,990",4.2 out of 5 stars
108,"Motorola E7 Power (Coral Red, 4GB RAM, 64GB Storage)",,https://m.media-amazon.com/images/I/71xYLLtUVEL._AC_UY218_.jpg,,5.0 out of 5 stars
109,"Maplin Brown & Proud 4G Volte Smartphone (2GB RAM, 16GB Storage) Mystic Coffee","3,990",https://m.media-amazon.com/images/I/71CmN8KW3cL._AC_UY218_.jpg,"₹3,990",
110,Infinix Smart 4 Plus,,https://m.media-amazon.com/images/I/8128jDJxNIL._AC_UY218_.jpg,,
